htid,title,author,year,source
osu.32435010479699,Mr. Thurtle's Trolley,Theodore Pratt,1947,laure
uc1.32106010162177,An Offering for the Dead,Hans Erich Nossack,1947,laure
uc1.$b104832,The Private Life of Henry Perkins,John Murray Reynolds,1947,laure
uc1.$b105433,The Memoirs of a Ghost,G. W. Stonier,1947,laure
uc1.$b311803,"The Seven Miracles of Gubbio, and the Eighth: A Parable",Raymond Léopold Bruckberger,1947,laure
mdp.39076002651987,Freddy the Magician,Walter R. Brooks,1947,laure
umn.319510020754232,Mr. Arrow,Austin Russell,1947,laure
uc1.$b299776,Moon Over the Back Fence,Esther Carlson,1947,laure
uc1.$b104212,"Not Now, But Now",M. F. K. Fisher,1947,laure
mdp.39015001771503,The World of Null-A,A. E. van Vogt,1948,laure
mdp.39015063963154,The World of Ā,A. E. van Vogt,1948,laure
mdp.39015050618357,Skylark Three,E. E. 'Doc' Smith,1948,laure
mdp.39015019045841,Triplanetary,E. E. 'Doc' Smith,1948,laure
uc1.b3184273,Triplanetary,"Edward E. Smith, Ph.D.",1948,laure
uva.x001817830,Final Blackout,L. Ron Hubbard,1948,laure
mdp.39015014436094,Darker Than You Think,Jack Williamson,1948,laure
inu.30000079189431,Beyond This Horizon,Robert A. Heinlein,1948,laure
uva.x000465810,Some Time Never: A Fable for Supermen,Roald Dahl,1948,laure
cub.p103032003010,The Golden Amazon Returns,John Russell Fearn,1948,laure
cub.p103022812016,The Sunken World,Stanton A. Coblentz,1948,laure
uga1.32108011178640,Shadow of Fu Manchu,Sax Rohmer,1948,laure
mdp.39015001362998,The Well of the Unicorn,George U. Fletcher,1948,laure
mdp.39015054194231,Ape and Essence,Aldous Huxley,1948,laure
mdp.39015062083947,Space Cadet,Robert A. Heinlein,1948,laure
pst.000021974618,My Father's Dragon,Ruth Stiles Gannett,1948,laure
uc1.31822010896173,The Herb of Grace,Elizabeth Goudge,1948,laure
mdp.39015003942086,Pilgrim's Inn,Elizabeth Goudge,1948,laure
mdp.39015004716315,Walden Two,B. F. Skinner,1948,laure
